Date of Tweet,Tweets Text,Likes,Retweets,Username
2021-05-20T17:06:15.000Z,"Dissertation dedicated to my homeland completed all thanks to God #EndSARS    

The Student:             The Dissertation:",5.8K,1.3K,ESÉ
2021-05-20T11:50:34.000Z,"For Jimoh #EndSARS
For Ifeoma #EndSARS
For Ayomide #EndSARS
For chijioke #EndSARS
For Tina #EndSARS
For Kolade #EndSARS
For Joy #EndSARS
For Richard #EndSARS
For Ismailia #EndSARS

For everyone killed at Lekki Toll Gate,
It is 7months today.

We will never forget you. Never ever.",2K,1.3K,#OurFavOnlineDoc
2021-05-22T16:12:24.000Z,Still it's #EndSARS ,222,93,Out Of Context Nigeria.
2021-05-19T06:40:15.000Z,This happened with #EndSARS and I hope you people realize that this will happen during the elections in 2023.,1.2K,1.3K,Kamalu
2021-05-19T15:48:38.000Z,"Think it's fair to say that #EndSARS achieved nothing despite all of our best efforts.

With this new police IG, we're back to where we were in September 2020. They're shooting civilians at will again, and justifying it by calling them IPOB members.",1.8K,2.7K,David Hundeyin
2021-05-18T15:45:32.000Z,"When this government was declaring #EndSARS protesters terrorists, only few organizations spoke up. NLC said nothing.

Now they have declared you wanted for economic sabotage & placed a bounty on your heads.",4.9K,1.7K,Rinu #EndSARS
2021-05-20T08:14:56.000Z,"It’s 7 months since #EndSARS & the wounds are still fresh. It was a peaceful protest to get them to listen to us. But they opened fire at us at the Lekki Tollgate.

I am truly sorry we lost our HEROES. Your sacrifices will never be in vain. #EndSARS is a marathon, not a sprint.",839,585,NEFERTITI
2021-05-19T16:52:09.000Z,"Protest is not a crime
Protest is not a crime
Protest is not a crime
Protest is not a crime
#EndSARS",890,561,Amnesty International Nigeria
2021-05-20T13:32:44.000Z,"—Seven months ago, peaceful #EndSARS protesters were met with excessive use of force by the army and police forces. 
—On 20 October peaceful protesters were shot dead when the Nigerian Army opened fire on protesters at the Lekki Toll Gate.",1.8K,1.5K,Amnesty International Nigeria
2021-05-19T07:02:07.000Z,Show us your #EndSARS tweets first.,3.9K,2.5K,$Hydra
2021-05-19T16:04:20.000Z,"The 
@PoliceNG
 should know that there won't be another #EndSARS. What will happen next time will be directed retaliation and revenge. Police officers don't live on the moon. When you vex the people enough, well...

And on my dad's grave, I will tweet football when it happens.",4.4K,2K,David Hundeyin
2021-05-20T20:09:15.000Z,Remember 20.10.20 #EndSARs,216,116,Only One BDM
2021-05-20T07:58:01.000Z,"While shooting at protesters at Lekki Toll Gate, protesters were also being shot at Alausa, Ikeja on the 20th of October, 2020. 

Who are the forces beyond control?

#EndSARS",827,685,Rinu #EndSARS
2021-05-20T07:52:31.000Z,Who gave the order to shoot at protesters? #EndSARS,360,507,Rinu #EndSARS
2021-05-25T04:40:11.000Z,"THE BREAKING OF THE DAWN ...

#EndSARS ",3,2,Mrs. Doubtfire
2021-05-20T20:38:54.000Z,"We have heard this before.

If in your wildest imagination think that what we say and do in this app don't get to them, the so-called decision-makers, you better think again.

#EndSARS started on this app. El-Rufai was removed as guest on the Platform and NBA because of Twitter",648,104,Alex Ikechukwu
2021-05-24T08:51:54.000Z,"215 days since the Lekki massacre 
Stand for the massacred protesters!
Share for awareness 
#EndSARS #endpolicebrutality #endbadgovernanceinnigeria president Buhari",8,6,Blend Forward | ENDSARS
2021-05-21T19:27:36.000Z,No body kuku die at lekki toll gate so maybe it’s not true too  #chiefofArmystaff #EndSARS,9,4,DYM
2021-05-23T21:59:09.000Z,"President Buhari has directed that the national flag  be flown at half-mast in all public buildings and official residences across the country, from Mon May 24 to Wed May 26, 2021, in honour of the late COAS and other military officers who died in Friday's plane crash.",1.4K,566,Presidency Nigeria
2021-05-23T22:07:23.000Z,Hoist flag to show what ? Isn’t that the same flag #EndSars protesters waved and hoist when the so call Nigerian Army went to kill them 20/10/2020?. They were even singing the National Anthem. Have y’all agreed to the fact of that? Have y’all shown any remorseful act?,232,34,TemiDeee (Apple of God's eye)
2021-05-22T12:02:19.000Z,"Ibadan Micra is nobody's mate, this is what is always in their mind....... those Micra drivers are demons........Micra Akure Nigeria Ikonko #Buharimustgo #EndSARS",9,,Of Ibadan
2021-05-21T20:23:13.000Z,"May the souls of the innocent, harmless, peaceful #EndSARS protesters killed by the military on 20/10/20 continue to Rest In Peace",82,36,Strong Truth
2021-05-20T05:39:23.000Z,Forever remembered #EndSARS,27,17,Aniedi udofia
2021-05-18T09:58:03.000Z,"Mood right now. 
@RealSeunKuti
 #MOP #Liberation #EndSARS",42,12,#EndbadgovernanceInNigeria
2021-05-19T06:47:58.000Z,"#EndSARS as a tool for change: Do we need another?
Join the conversation at 10am on breeze 99.9 FM 
#OOTCNassarawa 
#OfficeOfTheCitizen",15,6,EiE Nigeria
2021-05-24T12:18:39.000Z,"The last time Nigeria had a major eruption of violence, neither the British nor the Americans played a constructive role.

The British quickly picked a side, and willingly supported a genocide to give Shell a leg up in Nigeria's oil industry. Americans ""had better things to do"".",498,338,Onye Nkuzi
2021-05-24T12:20:29.000Z,"EXACTLY the same thing will happen this time around.

Please ignore their sacharine sweet pledges of ""support for democracy and human rights"". 

They abandoned #EndSARS long ago, if you don't learn anything from that, you are incapable of learning anything.",231,121,Onye Nkuzi
2021-05-18T17:56:02.000Z,"#JusticeforEji protest rocks Ikorodu as youths storm the streets in demand for justice for Omolola Ejioye who died in 
@PoliceNG
 custody after being denied bail. #EndPoliceBrutalityinNigeria #EndSARS",626,750,Abiodun Sanusi
2021-05-19T06:48:45.000Z,"Replying to 
@NLCHeadquarters",752,227,No Limit
2021-05-19T10:25:30.000Z,"Lexus GX460 Premium 
Fullest option 
Model: 2015
Condition: Foreign Used 
Price: 19M
Location: Ikeja, Lagos

Call/Whatsapp: 09060111479

Lekki Crypto IPOB Boko Haram #EndSARS Femi Dipper",12,9,IG: @hom_autos
2021-05-23T17:29:35.000Z,"Why is the police doing all This. So they want another #EndPoliceBrutalityinNigeria #EndSARS 
Please they should stop molesting innocent citizens of NIGERIA and do their assigned job , haba",1,3,EMERSON WONDERS
2021-05-24T08:37:53.000Z,"Concerning Presidents and the Presidency, may 
@MBuhari
 be the lowest point Nigeria descends to, before our resurgence. #BuhariMustGo #RevolutionNow #EndSARS",3,2,League of Citizens
2021-05-20T14:01:08.000Z,"Seven months now , still in our hearts #Endsars #EndPoliceBrutalityinNigeria",4,1,Nwakaego
2021-05-19T22:58:42.000Z,"Where hin Dey now? Abeg
#bitcoins 
#EndSARS",2,,Iyiola
2021-05-22T18:41:13.000Z,"Fred, a caller from Alimosho believes that the Lagos Judicial panel on #EndSARS should not just award compensation to victims but bring perpetrators to book. 

Join us every Saturday on #OOTCLagos on 
@CITY1051
 by 
@EiENigeria
 with support from 
@OSIWA1
 

Time - 6.30pm-7.00pm",18,17,Blessing Oladunjoye
2021-05-21T08:39:32.000Z,"So they did it with NIN linkage to sim cards, we've not finished talking about sims and now the demand is IMEI of our phones be submitted to them in frame 1 while this goes against the constitution in Frame 2.

It's like they're calling for another protest bigger than #endsars",12,11,King Cally
2021-05-19T11:55:48.000Z,"Twitter family kee you dia. Where were you people during #Endsars? Where were you people when presidency increased fuel pump price twice? Where were you people when Buhari government was brutalizing and killing innocent Biafra protesters asking for #Referendum? OYO, On Your Own.",50,66,Global Update
2021-05-20T16:45:11.000Z,"[5:32PM] 
@harntoney
: As seen on my WhatsApp please kindly retweet
 
@Postsubman
 @Intel_PoolNg
 @cassiniemmanuel
 #EndSARS #N100 Oshodi Ben Ayade  #TrafficChief",6,15,#LagosTrafficReports
